pl_name,hostname,pl_orbsmax,pl_orbper,pl_orbeccen,pl_bmasse,pl_rade,st_mass,st_rad,st_teff
"Kepler-1541 b","Kepler-1541",0.0755500000,8.40691199000,0.000000,1.65000000,1.16000000,0.860000,0.810000,5282.00
"Kepler-1576 b","Kepler-1576",0.0721100000,6.98471973000,0.000000,1.12000000,1.04000000,1.050000,1.060000,5876.00
"Kepler-634 b","Kepler-634",0.0576500000,5.16950177000,0.000000,4.23000000,1.89000000,1.030000,1.240000,6075.00
"Kepler-1501 b","Kepler-1501",0.1159200000,14.55645330000,0.000000,3.05000000,1.56000000,1.200000,1.300000,6229.00
"Kepler-1500 b","Kepler-1500",0.1236000000,15.03301050000,0.000000,1.87000000,1.20000000,1.000000,1.000000,5845.00
"Kepler-1522 b","Kepler-1522",0.0288000000,1.84788917100,0.000000,3.64000000,1.73000000,0.960000,0.930000,5706.00
"Kepler-641 b","Kepler-641",0.0895000000,9.48961571000,0.000000,4.08000000,1.85000000,1.020000,1.130000,5713.00
"Kepler-1626 b","Kepler-1626",0.0537000000,4.13962966000,0.000000,4.74000000,2.02000000,1.510000,1.850000,6826.00
"Kepler-1504 b","Kepler-1504",0.3704000000,82.30400300000,0.000000,5.18000000,2.13000000,0.850000,0.810000,5393.00
"Kepler-1505 b","Kepler-1505",0.1829800000,30.86093660000,0.000000,0.74900000,0.93000000,0.930000,0.860000,5686.00
"Kepler-710 b","Kepler-710",0.0524000000,4.34728552700,0.000000,4.19000000,1.88000000,0.940000,0.910000,5611.00
"Kepler-1644 b","Kepler-1644",0.1420000000,21.09077580000,0.000000,4.19000000,1.88000000,0.890000,0.860000,5499.00
"Kepler-1507 b","Kepler-1507",0.1194600000,16.05062130000,0.000000,0.52000000,0.84000000,0.890000,0.850000,5410.00
"Kepler-1506 b","Kepler-1506",0.1168000000,14.03291540000,0.000000,2.30000000,1.32000000,0.950000,0.930000,5676.00
"Kepler-1511 b","Kepler-1511",0.1753000000,23.23827920000,0.000000,3.46000000,1.68000000,1.170000,1.290000,6064.00
"Kepler-401 d","Kepler-401",0.6688600000,184.25640500000,0.000000,5.77000000,2.27000000,1.170000,1.290000,6184.00
"Kepler-1512 b","Kepler-1512",0.1369300000,20.35972599000,0.000000,1.76000000,1.18000000,0.730000,0.670000,4372.00
"Kepler-1528 b","Kepler-1528",0.0296000000,1.79111020500,0.000000,2.73000000,1.46000000,1.030000,1.030000,5857.00
"Kepler-1529 b","Kepler-1529",0.0525000000,5.33905686000,0.000000,5.06000000,2.10000000,0.810000,0.770000,5048.00
"Kepler-622 b","Kepler-622",0.0978000000,14.28226676000,0.000000,5.18000000,2.13000000,0.640000,0.610000,4201.00
"Kepler-1530 b","Kepler-1530",0.0355300000,2.59044340000,0.000000,3.33000000,1.64000000,0.920000,0.880000,5477.00
"Kepler-1530 c","Kepler-1530",0.0574400000,5.32274060000,0.000000,3.36000000,1.65000000,0.920000,0.880000,5477.00
"Kepler-1631 b","Kepler-1631",0.0511000000,4.09513932000,0.000000,2.39000000,1.35000000,0.970000,0.950000,5679.00
"Kepler-1534 b","Kepler-1534",0.0599000000,5.71668872000,0.000000,4.23000000,1.89000000,0.900000,0.860000,5442.00
"Kepler-1531 b","Kepler-1531",0.0220400000,1.13854337600,0.000000,1.41000000,1.11000000,1.160000,1.270000,6260.00
"Kepler-1093 c","Kepler-1093",0.4103700000,89.72229200000,0.000000,4.50000000,1.96000000,1.130000,1.200000,6166.00
"Kepler-1633 b","Kepler-1633",0.3875000000,186.40427100000,0.000000,3.12000000,1.58000000,1.200000,1.320000,6256.00
"Kepler-1480 b","Kepler-1480",0.1525000000,22.12679948000,0.000000,3.43000000,1.67000000,0.850000,0.810000,5156.00
"Kepler-1479 b","Kepler-1479",0.1134100000,14.53261362000,0.000000,4.01000000,1.83000000,0.990000,0.980000,5796.00
"Kepler-1481 b","Kepler-1481",0.0590000000,5.94220998000,0.000000,2.04000000,1.23000000,0.800000,0.750000,4908.00
"Kepler-990 c","Kepler-990",0.0123200000,0.53835430800,0.000000,2.96000000,1.53000000,1.050000,1.080000,5948.00
"Kepler-969 c","Kepler-969",0.0265000000,1.68293460400,0.000000,0.93700000,0.99000000,0.920000,0.820000,5214.00
"Kepler-1532 b","Kepler-1532",0.0206000000,1.09366355900,0.000000,2.39000000,1.35000000,0.910000,0.880000,5559.00
"Kepler-605 b","Kepler-605",0.0424400000,3.38353806600,0.000000,2.67000000,1.44000000,0.910000,0.880000,5462.00
"Kepler-1483 b","Kepler-1483",0.0958000000,9.50851560000,0.000000,2.92000000,1.52000000,1.250000,1.400000,6337.00
"Kepler-1485 b","Kepler-1485",0.1473200000,19.91577250000,0.000000,2.76000000,1.47000000,1.110000,1.120000,6087.00
"Kepler-1484 b","Kepler-1484",0.1939000000,30.45491360000,0.000000,5.10000000,2.11000000,0.940000,0.920000,5730.00
"Kepler-1486 b","Kepler-1486",0.2846000000,54.64957590000,0.000000,5.99000000,2.32000000,1.080000,1.120000,5965.00
"Kepler-342 e","Kepler-342",0.0290900000,1.64422461300,0.000000,0.61500000,0.88000000,1.260000,1.340000,6366.00
"Kepler-1487 b","Kepler-1487",0.0898000000,7.31946363000,0.000000,5.18000000,2.13000000,1.380000,1.630000,6541.00
"Kepler-1516 b","Kepler-1516",0.0718000000,7.25931979000,0.000000,3.71000000,1.75000000,1.040000,1.070000,5904.00
"Kepler-1047 c","Kepler-1047",0.0441300000,3.18897601000,0.000000,0.93700000,0.99000000,1.080000,1.130000,5754.00
"Kepler-1409 b","Kepler-1409",0.0155300000,0.76486492600,0.000000,1.12000000,1.04000000,0.830000,0.790000,5160.00
"Kepler-1488 b","Kepler-1488",0.2415300000,39.81899320000,0.000000,4.12000000,1.86000000,1.050000,1.310000,5820.00
"Kepler-1425 b","Kepler-1425",0.1143500000,14.45413020000,0.000000,0.77900000,0.94000000,0.970000,0.950000,5718.00
"Kepler-1350 c","Kepler-1350",0.0222000000,1.76678906200,0.000000,3.64000000,1.73000000,0.550000,0.530000,3827.00
"Kepler-1491 b","Kepler-1491",0.1270000000,16.58617620000,0.000000,2.89000000,1.51000000,1.000000,0.990000,5728.00
"Kepler-1492 b","Kepler-1492",0.1262000000,16.75255007000,0.000000,2.83000000,1.49000000,0.770000,0.720000,4712.00
"Kepler-1454 b","Kepler-1454",0.2447000000,47.03194790000,0.000000,4.19000000,1.88000000,0.900000,0.860000,5448.00
"Kepler-1065 c","Kepler-1065",0.0344000000,2.37030743000,0.000000,3.19000000,1.60000000,0.940000,0.930000,5635.00
